S.id,sex,birth.yr,ex.form,medium,fiction,grades,seat,r.pre,r.now,cl.enjoy,cl.ideal,cl.terrible,cl.recom,cl.safe
501,Male,1987,Elliptical ,A. Movies,A. Comedy,A. Individual Assignments,A. On the left side as you face the screen,0,70,40,30,50,30,70
502,Male,1992,jogging,B. Television,A. Comedy,C. Group Assignments (you and 2 or more others),C. On the right side (closest to the podium),0,70,50,10,90,20,0
503,Female,1985,jogging,A. Movies,B. Drama,B. Partner Assignments (you and 1 other student),A. On the left side as you face the screen,0,10,0,0,100,0,10
504,Female,1986,Zumba,A. Movies,B. Drama,B. Partner Assignments (you and 1 other student),A. On the left side as you face the screen,20,80,70,85,40,100,50
505,Male,1992,Biking,"C. Print (including books, comics, etc.)",E. Fantasy / Science Fiction,C. Group Assignments (you and 2 or more others),A. On the left side as you face the screen,80,90,90,85,10,100,80
506,Male,1991,Jogging,D. Other,E. Fantasy / Science Fiction,A. Individual Assignments,C. On the right side (closest to the podium),0,50,40,30,50,50,40
507,Male,1983,none,B. Television,A. Comedy,A. Individual Assignments,A. On the left side as you face the screen,50,50,50,40,50,70,100
508,Male,1990,jogging,A. Movies,E. Fantasy / Science Fiction,A. Individual Assignments,C. On the right side (closest to the podium),60,75,40,20,85,30,45
509,Female,1993,None,B. Television,B. Drama,A. Individual Assignments,B. In the middle of the room,0,50,50,50,50,85,60
510,Female,1988,Weight lifting,B. Television,A. Comedy,A. Individual Assignments,A. On the left side as you face the screen,30,30,50,30,30,40,30
511,Female,1991,jogging,A. Movies,B. Drama,A. Individual Assignments,C. On the right side (closest to the podium),0,50,85,75,22,70,70
512,Female,1992,jogging,D. Other,B. Drama,A. Individual Assignments,A. On the left side as you face the screen,50,50,100,70,20,80,50
513,Female,1988,Gym,"C. Print (including books, comics, etc.)",B. Drama,B. Partner Assignments (you and 1 other student),C. On the right side (closest to the podium),0,70,80,50,30,50,40
514,Female,1993,Elliptical at the gym ,B. Television,A. Comedy,A. Individual Assignments,A. On the left side as you face the screen,0,75,60,30,50,20,0
515,Male,1986,none,A. Movies,A. Comedy,A. Individual Assignments,C. On the right side (closest to the podium),60,90,65,50,35,60,50
516,Male,1993,Dance,A. Movies,E. Fantasy / Science Fiction,NA,A. On the left side as you face the screen,0,50,60,0,40,50,50
517,Male,1993,Soccer,B. Television,C. Action,C. Group Assignments (you and 2 or more others),B. In the middle of the room,90,95,65,60,30,70,40
518,Male,1983,Running,A. Movies,B. Drama,A. Individual Assignments,B. In the middle of the room,20,40,70,80,20,80,30
519,Female,1976,none,A. Movies,A. Comedy,A. Individual Assignments,A. On the left side as you face the screen,10,80,80,50,40,50,10
520,Female,1988,None,B. Television,A. Comedy,A. Individual Assignments,B. In the middle of the room,0,60,95,100,10,90,40
