response_id,usborn_001,english_002,female_003,glasses_004,r_pre431_005,domestic_006,yearborn_009,sroh_010,neohio_011,height_012,weight_013,pulse_014,exercise_015,sleep_016,sleepq_017,checkup_018,kids_019,workhrs_020
ID41,Yes,Yes,No,Yes,Yes,No,1995,Good,4,71,157,74,0,7,Very Good,Yes,No,25
ID42,Yes,Yes,Yes,Yes,No,No,1996,Good,4,63,138,80,0,6,Poor,Yes,No,50
ID44,No,No,Yes,Yes,No,Yes,1982,Good,243,63,140,64,1,3,Poor,Yes,Yes,50
ID48,Yes,Yes,Yes,Yes,Yes,Yes,1983,Very Good,54,63,150,64,2,7,Good,No,Yes,60
ID53,Yes,Yes,No,Yes,Yes,No,1995,Excellent,4,NA,170,75,4,8.1,Good,No,No,22.5
ID55,No,No,Yes,Yes,No,No,1996,Good,2,64,110,82,0,7,Fair,No,No,0
ID56,Yes,Yes,Yes,Yes,Yes,Yes,1980,Good,463,64,145,60,4,5,Fair,No,Yes,44
ID57,No,No,Yes,Yes,Yes,Yes,1974,Very Good,165,62,132,80,1,5,Poor,Yes,Yes,40
ID62,Yes,Yes,Yes,Yes,Yes,Yes,1990,Very Good,40,68,145,68,0,9,Very Good,Yes,No,0
ID63,Yes,Yes,No,Yes,Yes,No,1996,Good,39,73,145,96,1,9,Very Good,Yes,No,35
ID65,Yes,Yes,Yes,Yes,No,Yes,1985,Very Good,4,63,135,45,5,8,Good,Yes,No,40
ID67,No,No,No,No,No,No,1995,Very Good,14,65,140,76,3,6,Fair,Yes,No,0
ID70,Yes,Yes,Yes,Yes,No,No,1994,Excellent,265,67,145,60,7,6,Excellent,No,No,16
ID73,No,No,No,Yes,No,No,1995,Very Good,14,74,187,72,3,7.7,Fair,No,No,0
ID74,Yes,Yes,No,Yes,No,No,1996,Good,271,74,218,63,5,9,Good,No,No,0
ID75,Yes,Yes,No,Yes,Yes,Yes,1988,Excellent,52,70,148,78,0,8,Excellent,No,No,10
ID76,Yes,Yes,Yes,Yes,Yes,No,1994,Excellent,297,61,95,NA,1,8.5,Very Good,No,No,50
ID79,No,Yes,Yes,Yes,Yes,No,1994,Very Good,4,63,130,80,3,8,Very Good,No,No,12
ID83,Yes,Yes,Yes,No,No,Yes,1971,Excellent,573,68,156,55,3,8.5,Very Good,Yes,Yes,45
ID86,No,Yes,No,No,Yes,No,1994,Good,62,68,180,100,0,8,Good,Yes,No,8
ID90,Yes,Yes,Yes,Yes,No,No,1990,Very Good,336,61,122,60,3,5,Very Good,Yes,No,40
ID95,No,No,No,Yes,No,Yes,1971,Very Good,105,66,142,74,1,7,Very Good,No,Yes,40
ID96,Yes,Yes,No,No,Yes,No,1996,Excellent,42,68,165,64,0,8,Very Good,No,No,20
ID99,No,Yes,No,Yes,Yes,No,1993,Excellent,118,60,115,94,3,8,Good,Yes,No,0
